cpu_usage,memory_usage,disk_usage,network_latency,restart_count,probe_failures,node_cpu_pressure,node_memory_pressure,pod_age_minutes,failure_label
83.74,81.08,12.02,300.74,6,2,1,1,1163,1
0.37,4.34,15.35,335.95,4,4,1,0,876,0
13.75,96.5,35.51,131.9,1,5,0,0,1487,0
50.44,80.01,2.4,304.9,0,1,0,1,1620,1
40.51,99.33,99.01,320.62,0,0,1,1,543,0
99.45,79.36,40.22,79.49,8,2,1,0,1125,1
16.74,11.57,17.81,346.99,0,1,0,0,1716,0
10.7,50.35,84.17,454.07,0,0,0,0,1928,0
92.26,94.46,12.7,144.48,5,2,0,0,710,1
86.79,81.49,67.41,58.55,3,5,1,1,95,1
9.99,21.28,86.92,107.85,1,0,0,0,1745,0
91.54,70.63,26.37,136.58,5,5,1,0,29,1
93.29,0.21,32.14,225.57,0,2,0,0,1060,1
76.25,58.17,98.31,186.08,4,1,0,0,915,1
94.81,81.06,3.82,322.01,6,4,1,1,1281,1
4.5,48.57,79.08,253.35,0,3,1,1,1172,0
22.52,46.51,3.0,12.79,3,1,0,1,70,0
61.97,49.12,52.85,195.87,2,4,0,0,1801,1
47.3,33.28,14.71,249.96,0,3,0,1,1847,0
76.31,43.39,74.58,127.79,2,0,1,1,267,0
1.43,2.17,27.0,73.84,8,0,0,0,217,0
35.58,84.54,40.71,202.41,0,1,1,1,1618,0
53.22,42.8,0.04,499.49,1,0,0,0,236,1
41.32,45.15,81.17,33.41,0,0,0,0,478,0
73.05,18.04,12.49,349.39,2,1,1,0,783,0
98.04,98.03,32.6,194.52,4,2,1,0,793,1
92.09,70.99,38.9,446.33,7,4,1,0,1630,1
18.39,91.93,8.8,55.41,1,0,0,1,944,1
12.65,22.01,4.26,373.16,1,0,0,0,893,0
98.26,84.36,45.16,185.02,4,4,1,1,232,1
76.7,79.42,90.42,62.33,8,4,1,1,194,1
23.65,14.03,69.12,130.62,2,0,0,0,812,0
32.71,49.49,51.56,160.31,0,4,1,0,112,0
26.91,55.89,50.54,158.0,4,3,1,0,897,1
61.95,20.0,64.36,471.13,0,2,0,0,523,0
30.63,38.5,42.13,448.24,2,0,0,0,1861,0
33.06,50.14,85.95,117.32,4,0,0,1,825,0
20.08,30.56,54.97,251.6,1,3,0,0,1763,1
77.73,71.79,29.17,295.3,5,1,0,1,1670,1
62.6,50.02,0.25,197.47,0,1,0,0,1457,0
90.53,54.26,65.13,196.6,1,1,0,0,1149,0
34.22,59.89,94.73,348.27,0,3,1,0,1305,0
38.09,10.72,36.1,399.48,0,0,0,0,1765,1
17.71,21.4,11.73,365.66,0,0,0,0,18,1
2.67,38.91,77.08,369.51,0,0,1,0,793,1
26.51,93.19,25.34,298.02,1,0,0,0,1271,0
14.47,14.75,58.69,104.37,1,0,0,0,806,0
28.56,19.12,79.62,37.19,1,1,0,0,1218,0
75.21,73.58,54.88,131.81,4,1,0,0,1869,0
30.48,85.81,50.07,309.02,0,3,1,0,30,1
85.4,83.55,32.34,192.64,3,5,1,1,440,1
93.32,84.13,65.48,262.85,0,0,1,0,203,1
29.49,48.12,54.25,75.57,0,0,0,0,462,0
2.72,69.54,19.0,445.47,1,0,0,0,1810,0
93.78,82.03,27.61,110.9,5,2,1,1,11,1
70.53,59.04,48.93,350.3,2,0,0,0,1378,0
82.42,94.87,54.12,474.8,4,5,1,1,89,1
88.34,91.99,25.62,170.03,5,4,1,0,1297,1
80.99,9.33,55.06,401.53,1,1,0,1,1133,1
47.46,13.38,55.2,359.47,1,5,0,1,1954,0
22.14,14.18,55.58,314.33,0,2,0,0,716,0
93.98,97.57,99.06,455.17,2,1,0,0,1122,1
97.7,89.58,88.32,388.12,7,3,0,1,1222,1
98.97,82.48,65.92,236.17,6,1,1,1,1605,1
29.71,9.48,19.56,264.93,0,0,0,0,449,0
19.0,4.97,2.98,29.1,1,0,0,0,769,0
31.24,43.57,54.78,391.19,0,0,0,1,1902,1
87.17,89.87,9.94,121.18,5,2,0,1,1536,1
92.85,71.19,8.66,378.7,3,2,1,1,948,1
31.53,73.37,3.96,80.42,2,0,0,0,856,0
88.82,26.84,2.17,264.55,3,0,1,1,811,0
57.39,81.87,17.59,334.46,5,0,0,1,13,0
73.04,66.83,17.05,274.86,7,0,0,0,402,1
76.64,78.25,42.63,54.87,5,3,1,1,304,1
23.1,8.76,93.48,80.16,0,0,0,0,1852,1
2.15,11.39,89.58,462.36,0,0,0,0,1214,1
33.43,46.13,16.8,359.41,4,0,0,0,1734,0
98.58,70.16,53.01,78.3,2,2,1,1,460,1
22.07,21.74,98.95,44.36,0,0,0,0,1024,0
77.93,75.25,26.24,421.49,3,5,0,0,1273,1
47.47,95.34,52.92,107.99,1,0,1,0,1466,0
66.81,31.3,65.44,40.69,0,0,0,0,1489,0
79.6,72.84,22.03,469.63,2,1,0,0,786,1
86.26,92.59,63.36,227.59,8,3,0,1,905,1
82.37,93.71,69.22,77.15,7,1,1,1,1424,1
74.85,89.58,10.44,126.99,0,1,0,1,1144,0
93.74,87.53,70.49,132.88,4,4,0,1,1548,1
88.94,78.47,63.92,123.98,2,5,1,1,297,1
93.61,41.07,25.89,95.2,0,1,0,1,928,0
21.19,1.9,2.0,98.61,0,0,0,0,694,0
42.98,96.32,88.03,246.8,0,0,0,0,489,1
92.42,66.33,52.54,12.43,2,0,0,1,1099,1
57.51,40.19,31.72,10.99,2,3,0,1,1944,1
86.07,18.49,39.13,159.55,0,0,0,0,649,1
83.93,71.7,87.87,156.57,3,1,1,1,1831,1
90.42,90.78,43.45,354.67,2,5,1,0,972,1
79.14,95.85,77.15,174.94,5,3,1,1,1460,1
43.77,22.29,26.56,207.78,0,1,0,0,720,0
82.51,87.0,70.77,309.33,5,4,1,1,1062,1
53.89,35.72,30.8,33.65,0,1,0,0,612,0
85.93,83.51,58.04,344.59,4,4,1,1,1927,1
56.87,54.7,25.63,70.78,0,1,0,0,790,0
81.25,89.91,55.24,422.89,7,2,0,1,87,1
25.0,74.69,6.68,195.03,0,5,1,0,1312,1
31.04,59.86,29.79,413.19,0,0,1,0,1967,1
8.88,96.66,49.23,118.26,8,0,0,0,156,1
89.78,74.24,80.02,163.44,8,4,1,1,1224,1
89.47,18.71,70.55,166.24,2,0,1,1,1132,0
29.14,10.73,3.91,494.92,0,0,1,0,1366,0
22.12,55.36,73.5,12.79,0,0,0,0,1366,0
93.09,87.92,85.13,439.85,6,3,1,1,1043,1
56.34,29.4,39.01,229.77,0,3,0,0,632,1
92.2,70.47,16.69,241.26,6,5,1,1,201,1
41.79,2.12,96.11,94.08,2,4,0,0,1824,1
67.18,63.66,81.53,128.38,1,4,0,0,487,0
20.67,92.5,54.23,355.77,0,0,0,1,691,1
94.42,78.44,12.13,105.6,6,3,0,0,60,1
91.74,98.44,99.22,141.38,4,5,1,0,1854,1
25.57,3.09,95.4,423.5,0,1,1,1,944,0
94.75,90.92,49.01,359.74,5,1,0,1,831,1
81.52,36.48,17.55,382.3,0,1,1,0,342,1
68.51,23.94,84.45,290.87,0,3,1,1,463,1
72.52,99.08,60.87,46.77,3,0,0,1,948,1
78.19,84.73,62.03,176.52,1,2,0,0,1434,1
17.4,6.25,88.41,52.37,0,0,0,0,647,0
94.95,77.29,22.25,222.96,4,1,1,0,427,1
59.7,80.85,72.73,93.15,0,1,0,1,349,0
15.63,26.89,10.86,190.0,0,0,0,0,420,0
88.59,45.81,62.78,378.07,1,1,0,0,672,0
75.79,96.14,67.74,130.32,4,2,1,1,1811,1
83.71,64.02,39.46,132.75,0,4,0,1,1031,0
20.95,58.69,46.53,387.6,1,0,1,0,1033,0
57.78,63.42,80.14,417.49,1,0,0,0,1844,0
97.03,76.25,11.9,431.23,3,1,0,1,1186,1
62.16,47.64,75.93,434.26,1,0,0,0,1630,1
98.03,58.76,7.16,169.7,0,4,0,0,1451,1
0.17,64.64,54.31,17.07,0,0,0,0,1195,0
34.09,8.29,18.75,334.51,0,0,0,0,1129,0
7.71,88.7,21.71,196.47,0,1,0,0,1403,1
87.36,88.08,79.74,305.85,2,4,0,1,443,1
77.02,81.86,33.5,19.77,8,2,1,1,353,1
76.1,45.66,1.37,241.09,0,0,0,0,1347,0
87.21,99.51,25.02,134.02,2,5,1,1,1754,1
86.18,4.28,4.34,32.27,0,2,1,0,1744,1
34.19,10.31,76.4,247.37,0,1,0,0,1567,1
52.17,45.42,90.51,126.21,0,1,0,1,1673,0
47.55,56.64,72.47,27.14,7,2,0,1,1422,0
43.45,25.23,53.6,231.47,2,0,0,0,684,0
68.34,55.85,68.6,397.89,1,0,0,1,912,0
58.72,44.7,87.01,121.41,1,0,0,0,809,0
94.29,84.58,96.89,73.91,2,2,1,0,893,1
65.87,4.17,80.98,297.66,0,1,0,1,1453,0
84.38,3.48,23.35,196.48,2,0,0,0,318,0
35.84,20.07,45.24,161.24,0,0,0,0,212,0
30.23,40.72,67.37,28.87,0,4,0,1,34,0
69.26,13.49,88.0,200.08,2,0,0,0,647,0
85.67,90.6,69.82,246.06,8,1,1,0,679,1
96.92,69.24,24.88,263.67,1,0,1,0,573,1
35.47,28.31,91.83,436.18,0,0,0,0,430,0
86.18,78.14,90.4,7.74,6,1,1,1,392,1
88.34,57.89,33.9,263.41,3,1,0,1,1213,0
90.86,1.57,51.83,172.92,5,1,1,0,1113,1
25.21,44.07,13.38,128.42,1,0,0,0,519,0
93.57,71.52,56.67,21.67,0,0,0,1,1494,0
29.59,33.39,50.45,460.31,0,0,0,0,1453,0
96.35,86.55,1.58,65.68,7,4,0,1,1056,1
77.52,49.08,64.04,138.37,2,0,0,0,1442,0
99.36,84.01,80.44,497.5,1,0,0,0,748,1
30.24,23.44,30.45,28.7,0,0,0,0,395,0
46.35,62.64,73.09,252.27,0,0,0,0,771,0
33.37,99.98,92.98,145.4,2,0,0,0,435,0
79.86,72.55,45.29,120.95,3,3,1,0,690,1
83.93,97.95,24.32,389.67,8,4,1,1,42,1
64.73,37.07,95.51,86.94,1,0,0,0,392,0
86.02,97.76,83.92,1.42,3,4,1,1,580,1
32.18,48.25,79.69,411.23,0,1,0,0,1698,0
38.96,71.69,1.31,253.62,0,0,0,1,442,0
77.63,5.93,72.38,202.01,0,0,0,1,77,0
67.79,37.06,72.52,199.33,2,0,0,0,941,0
96.27,0.88,72.39,348.19,0,0,0,0,1417,1
30.28,71.53,84.4,372.44,1,0,0,0,691,0
70.88,74.94,20.3,448.11,2,0,0,0,1353,0
33.26,45.78,28.9,241.11,0,0,0,0,369,0
43.0,12.32,3.38,141.11,0,0,0,0,342,0
48.4,59.16,98.93,174.66,1,0,0,0,1043,1
87.72,24.52,35.08,455.82,0,1,0,0,815,0
45.31,41.05,33.29,194.82,0,0,0,0,1871,0
2.19,40.99,32.33,72.69,0,0,0,0,1690,0
28.22,27.63,70.77,483.69,5,2,0,1,743,1
90.54,18.08,60.61,230.45,1,3,0,0,1731,1
49.52,75.97,39.14,220.55,0,0,0,0,1558,0
34.94,53.07,53.99,119.89,0,1,0,0,916,0
37.16,39.53,77.74,264.37,0,0,0,0,1561,0
82.33,92.19,15.16,16.91,4,5,0,1,1783,1
28.34,4.01,9.35,463.9,1,0,0,0,478,0
98.26,56.51,21.31,389.38,4,1,0,0,1075,1
3.82,85.49,75.33,349.38,0,0,1,0,761,0
66.26,31.2,82.11,448.33,0,0,1,0,1186,1
83.33,90.33,36.12,386.58,6,2,1,0,742,1
82.5,93.03,7.78,31.94,5,3,1,1,676,1
4.7,61.21,29.27,467.35,1,4,0,0,1723,0
37.22,40.32,64.62,147.21,1,0,0,0,691,0
35.23,74.48,14.44,108.39,4,0,0,0,264,1
65.08,96.06,32.18,288.82,5,2,1,0,1396,1
95.77,94.44,2.45,227.65,7,3,1,1,255,1
78.69,87.98,98.25,210.99,2,2,1,0,695,1
19.88,43.3,94.37,440.7,0,0,0,0,1552,0
78.79,99.6,81.33,467.65,4,1,1,1,1245,1
66.17,41.55,9.1,38.68,3,0,1,0,39,1
95.49,33.72,84.79,161.71,1,0,0,0,187,0
48.45,52.43,14.28,373.05,0,0,0,0,116,0
20.29,52.7,44.03,313.53,0,0,0,0,193,1
26.03,54.47,58.16,393.34,2,0,0,0,190,0
18.96,61.9,95.27,113.47,0,0,0,0,73,0
32.56,28.87,93.5,454.81,0,0,0,0,1758,0
84.51,48.6,20.86,171.2,0,0,1,0,929,0
79.61,86.34,28.8,285.78,3,3,0,1,1024,1
42.59,93.14,2.8,103.55,1,0,0,0,120,1
19.81,39.28,69.2,205.27,4,0,0,0,1230,1
87.76,84.58,45.22,407.77,4,4,1,0,734,1
15.07,49.95,18.62,418.17,0,1,0,0,1964,0
78.84,54.65,15.45,365.81,0,1,0,0,1664,1
55.87,89.47,56.03,26.29,2,0,0,0,1866,1
45.35,82.03,83.38,259.0,2,0,1,0,1148,1
27.54,34.93,59.14,336.93,1,0,0,0,843,0
90.94,73.46,1.04,346.57,8,3,0,1,145,1
44.76,23.84,79.38,165.54,0,0,0,0,848,0
24.78,82.77,1.82,143.6,8,1,0,0,1601,0
17.07,61.76,18.15,191.37,0,2,0,0,1058,0
58.81,36.75,31.66,195.98,0,0,0,1,1646,0
13.36,4.93,23.06,251.63,2,0,0,0,98,0
83.5,96.17,80.25,286.19,2,1,1,0,1549,1
90.43,89.27,71.26,202.9,2,1,1,1,48,1
20.31,55.45,34.5,251.57,0,0,0,0,1894,0
62.08,85.5,70.02,262.58,5,1,0,0,1981,1
93.67,95.91,69.17,482.86,1,0,0,0,1163,1
1.16,12.18,52.22,437.61,0,0,0,0,577,0
24.11,83.35,17.73,407.36,2,0,0,0,1384,0
40.04,31.17,86.29,185.56,2,0,0,0,1808,0
98.02,89.59,89.58,256.12,1,0,0,0,986,1
28.38,29.15,95.56,224.03,1,0,0,0,49,0
31.16,56.85,20.83,160.61,1,1,0,0,564,0
18.7,30.57,56.37,154.25,0,4,0,0,1009,1
14.29,32.14,49.0,87.53,5,5,0,0,1296,1
99.37,35.79,65.51,296.69,0,0,0,0,1143,1
51.94,61.94,64.79,262.91,0,0,0,0,1433,0
74.85,14.46,85.6,438.22,0,1,0,0,495,0
5.74,31.23,31.39,243.77,4,0,0,0,305,0
99.0,73.78,98.56,276.42,4,4,1,0,306,1
41.23,22.35,35.51,452.06,0,0,0,0,455,0
44.96,43.54,95.19,147.32,0,0,0,0,1770,0
25.52,43.57,65.65,115.84,0,0,0,0,1003,0
50.29,52.29,48.24,231.71,1,0,1,1,499,1
68.24,25.32,67.66,478.44,0,0,0,0,341,0
8.9,80.19,39.89,403.62,2,5,0,0,1558,1
16.03,71.19,51.25,117.03,0,0,1,1,1465,0
86.65,9.4,43.59,114.45,3,0,0,1,823,0
90.29,81.13,46.27,458.34,4,4,1,1,703,1
99.07,99.79,0.9,152.39,7,2,1,1,870,1
11.32,67.62,7.11,340.93,7,0,0,0,1054,0
60.08,15.19,52.33,491.81,0,0,1,0,544,0
34.11,33.17,44.53,215.89,0,3,0,1,132,0
82.15,75.48,97.18,175.3,7,4,1,0,1724,1
87.18,95.34,53.68,98.16,0,1,1,0,929,1
54.02,80.99,73.57,95.72,0,4,0,1,631,0
15.61,21.57,91.57,22.45,1,0,0,0,922,0
34.32,1.75,19.65,242.13,0,0,0,0,1552,0
85.87,75.0,7.59,433.29,5,0,0,1,1832,0
31.41,89.6,61.97,76.25,0,2,0,0,728,1
76.67,42.88,67.1,147.42,1,0,0,1,1739,1
50.72,30.82,51.24,369.99,0,0,0,0,530,0
76.47,25.6,55.33,445.93,2,2,0,0,583,0
34.43,18.77,8.76,71.08,0,2,0,0,105,0
40.2,53.46,4.8,193.92,2,0,0,1,299,0
66.94,34.77,43.77,271.47,0,0,0,1,302,0
5.04,5.26,8.65,353.37,0,0,0,0,318,0
74.24,62.11,88.78,491.29,1,0,0,1,1240,1
91.16,87.24,65.91,20.62,5,3,1,1,1620,1
95.56,89.12,87.92,273.23,4,2,1,1,1387,1
96.29,91.83,40.37,373.52,3,3,1,0,1701,1
88.91,70.28,52.72,88.26,6,4,1,0,1358,1
1.71,36.83,54.74,81.99,0,0,0,0,1325,0
97.49,47.5,63.57,473.1,0,2,1,0,225,0
34.4,93.5,22.22,491.77,1,0,1,0,667,1
40.68,2.96,13.65,65.38,1,0,0,0,824,0
35.56,40.2,54.85,310.91,0,0,0,0,1286,0
9.13,51.57,79.58,258.77,1,0,0,1,967,0
78.3,75.78,98.72,92.55,2,0,0,0,314,0
30.71,58.07,37.64,425.01,0,1,0,0,353,0
71.77,27.43,85.53,178.22,2,0,1,0,1560,0
82.55,99.98,44.17,173.44,7,1,1,1,1732,1
91.97,79.54,19.4,491.82,7,2,1,1,347,1
88.26,97.66,62.88,400.57,4,3,1,1,460,1
68.9,7.9,3.85,214.76,5,0,1,0,808,1
18.76,64.39,82.66,14.98,0,0,0,0,1474,0
90.22,75.14,76.37,60.15,7,4,1,1,256,1
52.1,57.4,0.79,443.71,0,0,0,0,1159,0
13.76,10.33,97.91,105.25,1,0,0,0,1495,0
92.67,8.63,4.2,327.54,0,0,0,0,713,1
47.73,71.79,48.8,52.81,1,0,0,0,876,0
84.57,25.16,54.91,45.56,2,2,0,0,1998,0
24.96,22.55,30.3,19.41,0,0,0,0,1266,0
83.84,80.28,24.66,370.93,5,4,1,1,558,1
18.97,16.1,40.14,175.29,0,0,0,0,448,0
78.48,84.64,55.67,47.15,3,1,1,1,73,1
94.63,98.95,6.34,341.43,6,4,0,1,789,1
77.07,84.19,4.72,181.31,3,3,1,1,997,1
18.41,54.85,41.42,140.26,0,0,0,0,377,1
16.25,87.05,45.62,145.91,2,1,0,0,838,1
84.4,79.5,48.47,219.07,4,4,0,1,681,1
8.97,68.01,30.22,23.16,0,1,0,0,21,0
92.56,71.52,65.36,294.73,0,0,0,1,60,1
87.99,94.32,0.53,263.76,3,1,0,1,1982,1
5.53,19.23,92.02,118.1,0,0,0,0,733,0
94.54,92.77,79.38,253.37,6,3,1,1,1005,1
64.73,74.29,81.3,260.01,3,0,0,1,500,0
92.78,7.94,27.91,213.05,0,0,0,0,695,1
97.75,20.92,7.86,356.23,3,4,0,0,892,1
78.55,10.87,44.3,398.43,0,0,0,1,1099,1
8.76,71.58,72.11,370.8,3,3,0,0,608,1
34.81,72.97,1.17,257.07,5,1,0,1,1620,1
84.1,97.25,91.06,55.22,1,2,0,0,307,1
76.29,87.04,59.08,70.22,3,1,1,1,170,1
95.67,70.37,80.6,90.51,3,3,1,1,357,1
43.55,40.91,19.71,89.58,0,0,0,0,181,0
8.94,62.17,50.45,478.87,3,2,0,0,553,1
73.68,34.17,48.23,298.97,1,0,0,1,261,0
75.4,93.69,84.73,236.54,5,4,1,1,1163,1
39.5,63.51,29.18,277.96,0,3,0,0,396,1
85.93,76.96,88.61,44.64,5,4,1,0,1258,1
43.7,7.65,80.64,127.72,1,3,0,0,724,0
7.65,50.0,94.01,308.77,0,3,0,0,604,0
80.96,70.76,40.58,322.58,3,1,1,0,688,1
10.61,5.17,18.79,409.38,0,0,0,0,905,0
5.15,92.61,15.37,206.45,1,0,0,0,1249,1
